constructorId,name,nationality
1,McLaren,British
2,BMW Sauber,German
3,Williams,British
4,Renault,French
5,Toro Rosso,Italian
6,Ferrari,Italian
7,Toyota,Japanese
8,Super Aguri,Japanese
9,Red Bull,Austrian
10,Force India,Indian
11,Honda,Japanese
12,Spyker,Dutch
13,MF1,Russian
14,Spyker MF1,Dutch
15,Sauber,Swiss
23,Brawn,British
51,Alfa Romeo,Swiss
117,Aston Martin,British
131,Mercedes,German
164,HRT,Spanish
166,Virgin,British
205,Lotus,Malaysian
206,Marussia,Russian
207,Caterham,Malaysian
208,Lotus F1,British
209,Manor Marussia,British
210,Haas F1 Team,American
211,Racing Point,British
213,AlphaTauri,Italian
214,Alpine F1 Team,French
